Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Serine-Type Peptidase Activity (GO:0008236),23/142,1.185285134228567e-07,3.782900994048125e-05,0,0,4.119195543385894,65.6933930527281,KLK1;C1S;F10;CMA1;MMP2;MMP3;OVCH2;KLK5;MMP8;KLK8;PCSK5;KLK10;KLK7;KLK6;DPP4;CTSK;CNTN1;NAALAD2;MMP19;PRTN3;CTSG;TLL1;MASP1
GO_Molecular_Function_2023,Metalloendopeptidase Activity (GO:0004222),19/101,1.3226926552615822e-07,3.782900994048125e-05,0,0,4.9257243411360285,78.01572097473117,MME;TMPRSS6;MMP2;MMP3;ADAM33;MMP8;KLK7;ADAMTS16;ADAMTS5;ADAMTS2;MMP27;ADAMTS1;ADAM12;MMP28;CLCA2;MMP19;TLL1;CLCA4;PAPPA2
GO_Molecular_Function_2023,Voltage-Gated Sodium Channel Activity (GO:0005248),8/19,8.819496670162047e-07,0.00013663083558687066,0,0,15.32978402812657,213.7145250298146,SCN9A;SCN4A;SCN2A;SCN3B;NALCN;SCN3A;SCN4B;SCN2B
GO_Molecular_Function_2023,Serine-Type Endopeptidase Activity (GO:0004252),20/125,9.554603887193752e-07,0.00013663083558687066,0,0,4.048845518050445,56.12134138927815,KLK1;C1S;F10;CMA1;MMP2;MMP3;OVCH2;KLK5;MMP8;KLK8;PCSK5;KLK6;DPP4;CTSK;CNTN1;MMP19;PRTN3;CTSG;TLL1;MASP1
GO_Molecular_Function_2023,G Protein-Coupled Receptor Activity (GO:0004930),30/250,1.3710399388957491e-06,0.0001568469690096737,0,0,2.913672397817358,39.33440554134736,ADCYAP1R1;GPR26;NPR1;NPR3;MRGPRF;PTH1R;RORB;HCAR2;ADGRG4;GPER1;CXCR2;KISS1R;S1PR1;P2RY12;GPR17;MAS1L;LHCGR;GPR15;GPR34;HTR1E;MRGPRX2;GLP2R;SCTR;GPBAR1;PDGFRL;ADGRD1;ADGRD2;NMUR1;RGR;ADGRL3
GO_Molecular_Function_2023,Endopeptidase Activity (GO:0004175),36/335,1.8048700804508108e-06,0.0001720642810029773,0,0,2.579361840875896,34.11211695318601,KLK1;C1S;TMPRSS6;KLK5;KLK8;PCSK5;KLK7;KLK6;ADAMTS16;DPP4;ADAMTS5;ADAMTS2;MMP27;ADAMTS1;CTSK;MMP28;CLCA2;CTSG;CLCA4;MME;F10;CMA1;MMP2;MMP3;OVCH2;ADAM33;MMP8;SFRP1;PIP;ADAM12;CNTN1;MMP19;PRTN3;TLL1;MASP1;PAPPA2
GO_Molecular_Function_2023,Metallopeptidase Activity (GO:0008237),19/124,3.4502129949882345e-06,0.00028193169044761,0,0,3.842100777671248,48.32238806748266,MME;TMPRSS6;MMP2;MMP3;ADAM33;MMP8;KLK7;ADAMTS16;ADAMTS5;ADAMTS2;MMP27;ADAMTS1;ADAM12;MMP28;CLCA2;MMP19;TLL1;CLCA4;PAPPA2
GO_Molecular_Function_2023,Receptor Ligand Activity (GO:0048018),34/319,4.161557463905028e-06,0.0002975513586692095,0,0,2.55181526056324,31.61602435735094,CSF3;SEMA3D;SEMA3A;SEMA3G;PTN;FGF1;FGF2;CX3CL1;NTF4;DPP4;FGF7;GPNMB;CTSG;LEFTY2;CCL16;GDF10;CCL24;IL33;EDN1;TSLP;EDN3;IL34;VEGFD;NRG1;IGF1;SLURP1;BMP6;FGF16;GREM2;BMP2;IL6;VGF;LEP;FGF10
GO_Molecular_Function_2023,Cytokine Activity (GO:0005125),23/178,6.712491571215631e-06,0.0004266161309705934,0,0,3.156476984414643,37.59850297574299,CCL14;GDF10;CCL13;CCL24;IL33;CSF3;EDN1;CCL23;TSLP;CCL21;IL34;NRG1;CXCL3;FGF2;CXCL2;BMP6;CX3CL1;SLURP1;BMP2;IL6;CXCL12;LEFTY2;CCL16
GO_Molecular_Function_2023,Zinc Ion Binding (GO:0008270),34/341,1.739212077158499e-05,0.0009948293081346617,0,0,2.3661771408878165,25.93210248318132,ADH1C;ADH1B;DPYS;ADH1A;MT1X;TRHDE;ADH4;GRIN2A;NT5E;TIMP2;ENPP2;S100A12;SNCA;EGR1;CPA2;MME;LVRN;BHMT2;PDE2A;ADAM33;BBOX1;NRG1;MMP8;KLF4;S100B;GRIN2B;MYT1;BHMT;WT1;MSRB3;PPARG;ZFPM2;CDO1;PAPPA2
GO_Molecular_Function_2023,Chemokine Activity (GO:0008009),10/46,3.408015600472705e-05,0.0017721681122458,0,0,5.860403592961733,60.28477200965659,CCL14;CCL13;CCL24;CCL23;CXCL12;CCL21;CXCL3;CXCL2;CX3CL1;CCL16
GO_Molecular_Function_2023,High Voltage-Gated Calcium Channel Activity (GO:0008331),7/23,5.20208804338326e-05,0.0024547593688829,0,0,9.209230132450331,90.83860621709243,SCN11A;SCN9A;SCN7A;SCN4A;SCN2A;SCN3A;CACNA1G
GO_Molecular_Function_2023,Calcium Ion Binding (GO:0005509),33/346,5.578998565643041e-05,0.0024547593688829,0,0,2.2492811501597445,22.029271034637283,LRP1;THBS4;CDH7;CALB2;CLEC3B;ENPP2;SLIT1;S100A12;SLIT2;DUOX2;SNCA;AOC3;ANXA1;GSN;S100A2;KCNIP2;S100B;SYT8;ASPN;SELP;PLSCR4;CASQ2;SPARCL1;MICU3;PADI4;MASP1;DSG3;DSG4;DNASE1L3;DSC1;DDR2;ADGRL3;FBN1
GO_Molecular_Function_2023,Chemokine Receptor Binding (GO:0042379),10/50,7.278547482647546e-05,0.0029738065429102,0,0,5.273255813953488,50.24355051665548,CCL14;CCL13;CCL24;CCL23;CXCL12;CCL21;CXCL3;CXCL2;CX3CL1;CCL16
GO_Molecular_Function_2023,Retinal Dehydrogenase Activity (GO:0001758),4/7,0.00013517515138642588,0.0051546791062023,0,0,27.992665933259996,249.38495892279872,ALDH1A3;ALDH1A2;ALDH1A1;AKR1C3
GO_Molecular_Function_2023,Amyloid-Beta Binding (GO:0001540),12/79,0.00023236015685805576,0.0083068756076754,0,0,3.780873656136631,31.63540919618884,GRIA2;NGFR;GRIN2A;LRP1;COL25A1;CD36;ADRB2;CRYAB;TLR4;GRIN2B;ITM2A;GRIA4
GO_Molecular_Function_2023,Transition Metal Ion Binding (GO:0046914),38/456,0.0002725388053676971,0.0083683566199871,0,0,1.939636363636364,15.920010696095336,ADH1C;ADH1B;DPYS;ADH1A;MT1X;TRHDE;ADH4;GRIN2A;NT5E;TIMP2;ENPP2;S100A12;PCK1;SNCA;AOC3;CPA2;EGR1;MME;LVRN;BHMT2;PDE2A;ADAM33;BBOX1;NRG1;KLF4;MMP8;S100B;GRIN2B;MYT1;SOD3;BHMT;DCT;WT1;MSRB3;PPARG;CDO1;ZFPM2;PAPPA2
GO_Molecular_Function_2023,Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),5/14,0.000277969887726845,0.0083683566199871,0,0,11.672785119921684,95.57673850440727,ALDH1A3;ALDH1L1;ALDH1A2;ALDH1A1;ALDH1L2
GO_Molecular_Function_2023,Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),5/14,0.000277969887726845,0.0083683566199871,0,0,11.672785119921684,95.57673850440727,ALDH1A3;ALDH1L1;ALDH1A2;ALDH1A1;ALDH1L2
GO_Molecular_Function_2023,Monoatomic Cation Channel Activity (GO:0005261),14/105,0.0002967766662597478,0.0084878126550287,0,0,3.250791477710276,26.40465347129997,KCNG1;KCNF1;KCNA1;KCNA2;ABCC9;OTOP1;NALCN;CALHM5;AQP1;TRPM1;UNC80;TRPM6;TRPM3;KCNK3
GO_Molecular_Function_2023,Fibroblast Growth Factor Receptor Binding (GO:0005104),6/22,0.000353826606344361,0.0096375628013797,0,0,7.884922822491731,62.659144401131655,KLB;KL;FGF16;FGF7;FGF2;FGF10
GO_Molecular_Function_2023,Potassium Ion Transmembrane Transporter Activity (GO:0015079),7/31,0.0004054129028752991,0.0105407354747577,0,0,6.136911331861663,47.93298724593674,KCNG1;KCNF1;KCNA1;KCNA2;ABCC9;KCNK3;AQP1
GO_Molecular_Function_2023,"3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)",5/16,0.0005619194563317022,0.0133924137092389,0,0,9.549459351221463,71.46960563160033,PDE11A;PDE1C;PDE1B;PDE2A;PDE3B
GO_Molecular_Function_2023,Ionotropic Glutamate Receptor Activity (GO:0004970),5/16,0.0005619194563317022,0.0133924137092389,0,0,9.549459351221463,71.46960563160033,GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA4
GO_Molecular_Function_2023,G Protein-Coupled Peptide Receptor Activity (GO:0008528),11/77,0.0007157357922570749,0.0163760349268418,0,0,3.51459719142646,25.45341389708569,MAS1L;OXTR;EDNRB;NPR1;AVPR2;GLP2R;NPR3;KISS1R;SCTR;NMUR1;PTH1R
GO_Molecular_Function_2023,CCR Chemokine Receptor Binding (GO:0048020),8/44,0.0007502170704870766,0.0165047755507156,0,0,4.677961939840393,33.658628336439115,CCL14;CCL13;CCL24;CCL23;CCL21;DEFB1;CX3CL1;CCL16
GO_Molecular_Function_2023,Chemoattractant Activity (GO:0042056),7/35,0.0008843457706921374,0.0182071181807045,0,0,5.2591059602649,36.974998682263,FGF7;GPNMB;VEGFD;FGF2;CX3CL1;CCL16;FGF10
GO_Molecular_Function_2023,Potassium Channel Activity (GO:0005267),11/79,0.0008912575333212019,0.0182071181807045,0,0,3.4108680057388807,23.95410692369933,KCNG1;KCNF1;KCNC1;KCNC2;KCNS2;KCNA1;KCNMB1;KCNA2;ABCC9;KCNK3;AQP1
GO_Molecular_Function_2023,Metal Ion Binding (GO:0046872),40/521,0.0009681416780425942,0.0189054261438469,0,0,1.7723671331918756,12.300462069113117,LRP1;MT1X;THBS4;CDH7;CALB2;CLEC3B;ACVR1C;ENPP2;SLIT1;S100A12;SLIT2;PCK1;DUOX2;SNCA;AOC3;ANXA1;GSN;S100A2;KCNIP2;PDE2A;NRG1;S100B;SYT8;ASPN;GEM;SELP;FCER2;PLSCR4;CASQ2;SPARCL1;MICU3;PADI4;DSG3;MASP1;DSG4;DSC1;DNASE1L3;ADGRL3;DDR2;FBN1
GO_Molecular_Function_2023,Voltage-Gated Potassium Channel Activity (GO:0005249),11/80,0.0009915433292227412,0.0189054261438469,0,0,3.361258395192648,23.24729635166482,KCNG1;KCNF1;KCNC1;KCNC2;KCNB1;KCNIP2;KCNS2;KCNA1;KCNA2;KCNJ16;KCNJ3
GO_Molecular_Function_2023,Sodium Channel Activity (GO:0005272),7/37,0.0012507248809495,0.0230778913517147,0,0,4.907983811626195,32.80512080816097,SCN9A;SCN4A;ASIC2;SCN2A;NALCN;SCN3A;SCN4B
GO_Molecular_Function_2023,NAD-retinol Dehydrogenase Activity (GO:0004745),5/19,0.0013345441702461,0.0238549770431499,0,0,7.501966645689112,49.6567587353599,ADH4;ADH1C;ADH1B;AKR1C3;RDH5
GO_Molecular_Function_2023,Growth Factor Activity (GO:0008083),11/85,0.001642845893431,0.0284759954861379,0,0,3.133322346736981,20.088748647218647,NTF4;FGF16;CSF3;FGF7;IL6;NRG1;VEGFD;PTN;FGF1;FGF2;FGF10
GO_Molecular_Function_2023,"Alcohol Dehydrogenase Activity, Zinc-Dependent (GO:0004024)",3/6,0.0017093973454798,0.0287580965180719,0,0,20.97142857142857,133.62185627700006,ADH4;ADH1C;ADH1B
GO_Molecular_Function_2023,Heme Binding (GO:0020037),11/87,0.0019859848618828,0.0324566668856279,0,0,3.0505455712451863,18.97939737226639,CYP2A7;CYP26B1;CYP2C8;PTGIS;CYP2A13;CYP11A1;HBB;NRG1;PXDNL;PTGS2;CYP19A1
GO_Molecular_Function_2023,Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529),5/21,0.0021648641781924,0.0333480586548073,0,0,6.563532488986784,40.26988183974996,GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA4
GO_Molecular_Function_2023,"3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)",4/13,0.0022154304700746,0.0333480586548073,0,0,9.327955017723994,57.015339220215054,PDE1C;PDE1B;PDE2A;PDE3B
GO_Molecular_Function_2023,Metalloendopeptidase Inhibitor Activity (GO:0008191),4/13,0.0022154304700746,0.0333480586548073,0,0,9.327955017723994,57.015339220215054,TIMP2;FETUB;RECK;TIMP4
GO_Molecular_Function_2023,"Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)",5/22,0.0026975242982526,0.0393600069468783,0,0,6.177118424462296,36.54025514062211,AKR1C1;HSD17B2;AKR1C3;AKR1C2;RDH5
GO_Molecular_Function_2023,"3',5'-cyclic-GMP Phosphodiesterase Activity (GO:0047555)",3/7,0.0028900704401554,0.0393600069468783,0,0,15.727747252747251,91.95187173631004,PDE1C;PDE1B;PDE2A
GO_Molecular_Function_2023,NMDA Glutamate Receptor Activity (GO:0004972),3/7,0.0028900704401554,0.0393600069468783,0,0,15.727747252747251,91.95187173631004,GRIN2A;GRIN2C;GRIN2B
GO_Molecular_Function_2023,Androsterone Dehydrogenase Activity (GO:0047023),3/7,0.0028900704401554,0.0393600069468783,0,0,15.727747252747251,91.95187173631004,AKR1C3;AKR1C2;RDH5
GO_Molecular_Function_2023,Hyaluronic Acid Binding (GO:0005540),4/14,0.0029904179831415,0.039779513636208,0,0,8.394719471947194,48.79298146876644,CHODL;ITIH2;STAB2;LYVE1
GO_Molecular_Function_2023,Chemorepellent Activity (GO:0045499),5/24,0.0040370428672168,0.0524815572738196,0,0,5.526315789473684,30.462394523761272,DPP4;SEMA3D;SEMA3A;SEMA3G;NRG1
GO_Molecular_Function_2023,Growth Factor Receptor Binding (GO:0070851),11/96,0.0043212982065611,0.0549285016478434,0,0,2.7262553802008607,14.84227793537702,KLB;PDGFRA;KL;FGF16;CSF3;IL6;TSLP;VEGFD;FGF1;FGF2;FGF10
GO_Molecular_Function_2023,Alcohol Dehydrogenase (NAD+) Activity (GO:0004022),3/8,0.0044677808076644,0.0555558830866102,0,0,12.58153846153846,68.07698669746422,ADH4;ADH1C;ADH1B
GO_Molecular_Function_2023,Inorganic Cation Transmembrane Transporter Activity (GO:0022890),6/35,0.0046432207665013,0.0565089846476332,0,0,4.347336805687564,23.3554019452739,GRIA2;GRIN2A;SLC39A2;GRIN2C;GRIN2B;GRIA4
GO_Molecular_Function_2023,Voltage-Gated Calcium Channel Activity (GO:0005245),7/47,0.0051489451469322,0.061358263000942,0,0,3.679056291390729,19.384812986805425,SCN11A;SCN9A;SCN7A;SCN4A;SCN2A;SCN3A;CACNA1G
GO_Molecular_Function_2023,Transmembrane Receptor Protein Kinase Activity (GO:0019199),6/37,0.0061563543424452,0.0677198977668982,0,0,4.06643667532098,20.699262665424342,ALK;PDGFRA;KIT;ROR1;TGFBR2;DDR2
GO_Molecular_Function_2023,Monoatomic Cation Transmembrane Transporter Activity (GO:0008324),6/37,0.0061563543424452,0.0677198977668982,0,0,4.06643667532098,20.699262665424342,UNC80;SLC39A2;NALCN;TRPM6;TRPM3;CALHM5
GO_Molecular_Function_2023,Monoatomic Ion Channel Activity (GO:0005216),6/37,0.0061563543424452,0.0677198977668982,0,0,4.06643667532098,20.699262665424342,UNC80;NALCN;TRPM6;TRPM3;CALHM5;KCNK3
GO_Molecular_Function_2023,Peptidase Inhibitor Activity (GO:0030414),6/37,0.0061563543424452,0.0677198977668982,0,0,4.06643667532098,20.699262665424342,ITIH2;SPINK1;PROS1;TIMP2;A2ML1;RECK
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)",5/27,0.0068486734065447,0.0739139846895015,0,0,4.771976371645975,23.782100116678237,CYP26B1;AKR1C3;AKR1C2;FMO1;FMO2
GO_Molecular_Function_2023,Ligand-Gated Calcium Channel Activity (GO:0099604),4/18,0.0079044878215009,0.0835140308756514,0,0,5.994970925663995,29.01760526056801,GRIN2A;GRIN2C;GRIN2B;RYR3
GO_Molecular_Function_2023,Delayed Rectifier Potassium Channel Activity (GO:0005251),5/28,0.0080301952765049,0.0835140308756514,0,0,4.564259720360084,22.020482952920243,KCNG1;KCNC1;KCNC2;KCNB1;KCNA2
GO_Molecular_Function_2023,Vinculin Binding (GO:0017166),3/10,0.0089396749526064,0.08633599243234,0,0,8.985871271585557,42.38865561345812,SYNM;DMD;CORO2B
GO_Molecular_Function_2023,alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032),3/10,0.0089396749526064,0.08633599243234,0,0,8.985871271585557,42.38865561345812,AKR1C1;AKR1C3;AKR1C2
GO_Molecular_Function_2023,Dipeptidyl-Peptidase Activity (GO:0008239),3/10,0.0089396749526064,0.08633599243234,0,0,8.985871271585557,42.38865561345812,DPP4;DPP6;NAALAD2
GO_Molecular_Function_2023,Exopeptidase Activity (GO:0008238),7/52,0.0090029370739721,0.08633599243234,0,0,3.2694137846455726,15.3996072374437,DPP4;CPA2;DPP6;MME;XPNPEP2;NAALAD2;TRHDE
GO_Molecular_Function_2023,Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),6/40,0.0090562229824132,0.08633599243234,0,0,3.707049743822557,17.439085732236958,GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA4;GABRG1
GO_Molecular_Function_2023,Retinoid Binding (GO:0005501),5/30,0.0108028731479442,0.1012990727971166,0,0,4.198678414096916,19.01137715582945,ADH4;CYP26B1;ALDH1A2;UGT2B4;PTGDS
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",4/20,0.0116423187163198,0.1074097791247572,0,0,5.245049504950496,23.35677534159426,ALDH1A3;ALDH1A2;ALDH1A1;AKR1C3
GO_Molecular_Function_2023,Endopeptidase Inhibitor Activity (GO:0004866),11/112,0.0133818748185372,0.1214989269238616,0,0,2.2924414392658776,9.889257931889452,SPINK1;ITIH2;PROS1;SERPINF1;SPINK5;TIMP2;FETUB;SERPING1;NRG1;RECK;TIMP4
GO_Molecular_Function_2023,Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315),5/34,0.0181681607725506,0.1560756470596959,0,0,3.6187908248518914,14.504419866188409,GRIA2;GRIN2A;GRIN2C;GRIN2B;GRIA4
GO_Molecular_Function_2023,Sterol Esterase Activity (GO:0004771),2/5,0.0189845702253605,0.1560756470596959,0,0,13.96560556165386,55.36145814305519,LIPE;CES1
GO_Molecular_Function_2023,Vasopressin Receptor Activity (GO:0005000),2/5,0.0189845702253605,0.1560756470596959,0,0,13.96560556165386,55.36145814305519,OXTR;AVPR2
GO_Molecular_Function_2023,LBD Domain Binding (GO:0050693),2/5,0.0189845702253605,0.1560756470596959,0,0,13.96560556165386,55.36145814305519,PPARG;PROX1
GO_Molecular_Function_2023,Double-Stranded Methylated DNA Binding (GO:0010385),2/5,0.0189845702253605,0.1560756470596959,0,0,13.96560556165386,55.36145814305519,EGR1;WT1
GO_Molecular_Function_2023,Retinyl-Palmitate Esterase Activity (GO:0050253),2/5,0.0189845702253605,0.1560756470596959,0,0,13.96560556165386,55.36145814305519,LIPE;RPE65
GO_Molecular_Function_2023,Steroid Hydroxylase Activity (GO:0008395),4/23,0.0191001665982145,0.1560756470596959,0,0,4.416188987319785,17.479533129170736,CYP39A1;CYP2C8;CYP11A1;CYP19A1
GO_Molecular_Function_2023,Aldo-Keto Reductase (NADP) Activity (GO:0004033),3/14,0.0236680854751239,0.1906780970671955,0,0,5.717082917082917,21.40263021600924,AKR7A3;AKR1C1;AKR1C3
GO_Molecular_Function_2023,Sphingosine N-acyltransferase Activity (GO:0050291),2/6,0.0276221800573257,0.2070939754876554,0,0,10.473655323819978,37.59137550808554,CERS3;TLCD3B
GO_Molecular_Function_2023,Roundabout Binding (GO:0048495),2/6,0.0276221800573257,0.2070939754876554,0,0,10.473655323819978,37.59137550808554,SLIT1;SLIT2
GO_Molecular_Function_2023,Clathrin Light Chain Binding (GO:0032051),2/6,0.0276221800573257,0.2070939754876554,0,0,10.473655323819978,37.59137550808554,NSG2;NSG1
GO_Molecular_Function_2023,Nitric-Oxide Synthase Binding (GO:0050998),2/6,0.0276221800573257,0.2070939754876554,0,0,10.473655323819978,37.59137550808554,CAV1;DMD
GO_Molecular_Function_2023,E-box Binding (GO:0070888),6/51,0.0279174793967163,0.2070939754876554,0,0,2.7992649761117234,10.017176112358325,TAL1;ATOH8;SNAI2;PPARG;BHLHE22;ASCL1
GO_Molecular_Function_2023,Carboxypeptidase Activity (GO:0004180),5/38,0.028252032108829,0.2070939754876554,0,0,3.179482045120812,11.33990852049224,CPA2;CPA1;CPXM2;NAALAD2;CPXM1
GO_Molecular_Function_2023,BMP Binding (GO:0036122),3/15,0.0286021399711971,0.2070939754876554,0,0,5.240384615384615,18.62576142484945,GREM2;SOSTDC1;CHRDL1
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)",3/15,0.0286021399711971,0.2070939754876554,0,0,5.240384615384615,18.62576142484945,AKR1C1;AKR1C3;AKR1C2
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)",9/95,0.0294226070928336,0.2103716407137606,0,0,2.199642416135007,7.75592145523089,ADH4;AKR7A3;ADH1C;ADH1B;ADH1A;AKR1C1;AKR1C3;RDH5;HSD17B13
GO_Molecular_Function_2023,CXCR Chemokine Receptor Binding (GO:0045236),3/16,0.0340360497909165,0.2374222009805401,0,0,4.837024513947591,16.350763396305,CXCL12;CXCL3;CXCL2
GO_Molecular_Function_2023,Arachidonic Acid Monooxygenase Activity (GO:0008391),3/16,0.0340360497909165,0.2374222009805401,0,0,4.837024513947591,16.350763396305,CYP2A7;CYP2C8;CYP2A13
GO_Molecular_Function_2023,Monocarboxylic Acid Binding (GO:0033293),4/28,0.0369396825279747,0.2438477975323461,0,0,3.4952328566189954,11.528916870606697,CYP26B1;AKR1C3;AKR1C2;UGT2B4
GO_Molecular_Function_2023,S-methyltransferase Activity (GO:0008172),2/7,0.0375150457742071,0.2438477975323461,0,0,8.378485181119649,27.506677494447743,BHMT;BHMT2
GO_Molecular_Function_2023,Alcohol Dehydrogenase [NAD(P)+] Activity (GO:0018455),2/7,0.0375150457742071,0.2438477975323461,0,0,8.378485181119649,27.506677494447743,ADH4;ADH1C
GO_Molecular_Function_2023,Fucose Binding (GO:0042806),2/7,0.0375150457742071,0.2438477975323461,0,0,8.378485181119649,27.506677494447743,SELP;CLEC10A
GO_Molecular_Function_2023,Neutral L-amino Acid:Sodium Symporter Activity (GO:0005295),2/7,0.0375150457742071,0.2438477975323461,0,0,8.378485181119649,27.506677494447743,SLC6A2;SLC38A4
GO_Molecular_Function_2023,Protein-Glutamine Gamma-Glutamyltransferase Activity (GO:0003810),2/7,0.0375150457742071,0.2438477975323461,0,0,8.378485181119649,27.506677494447743,TGM1;F13A1
GO_Molecular_Function_2023,Carboxylic Acid Binding (GO:0031406),3/17,0.0399634450737496,0.2539898953576086,0,0,4.491287284144427,14.461002404980958,AKR1C1;AKR1C2;PCK1
GO_Molecular_Function_2023,Chemokine Binding (GO:0019956),3/17,0.0399634450737496,0.2539898953576086,0,0,4.491287284144427,14.461002404980958,ZFP36;PDPN;FGF2
GO_Molecular_Function_2023,Metallocarboxypeptidase Activity (GO:0004181),4/29,0.0413546824443038,0.2571182430232804,0,0,3.355247524752475,10.688374598005687,CPA2;CPA1;CPXM2;CPXM1
GO_Molecular_Function_2023,Protein Tyrosine Kinase Activator Activity (GO:0030296),4/29,0.0413546824443038,0.2571182430232804,0,0,3.355247524752475,10.688374598005687,ALK;ANGPT4;NRG1;CD36
GO_Molecular_Function_2023,Metalloexopeptidase Activity (GO:0008235),6/57,0.0448367298907722,0.2748478178819798,0,0,2.469161424216875,7.666073651837775,CPA2;CPA1;CPXM2;LVRN;CPXM1;TRHDE
GO_Molecular_Function_2023,Receptor Antagonist Activity (GO:0048019),4/30,0.046054966529992,0.2748478178819798,0,0,3.226030295337226,9.929462106170588,FST;WFIKKN2;IL36RN;AGTR2
GO_Molecular_Function_2023,RAGE Receptor Binding (GO:0050786),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,S100A12;S100B
GO_Molecular_Function_2023,Activin Receptor Activity (GO:0017002),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,ACVR1C;TGFBR2
GO_Molecular_Function_2023,Adenylate Cyclase Binding (GO:0008179),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,AKAP12;AKAP6
GO_Molecular_Function_2023,Bile Acid Binding (GO:0032052),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,AKR1C3;AKR1C2
GO_Molecular_Function_2023,Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004112),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,PDE11A;PDE3B
GO_Molecular_Function_2023,Nuclear Glucocorticoid Receptor Binding (GO:0035259),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,NR4A1;NR4A3
GO_Molecular_Function_2023,Retinal Binding (GO:0016918),2/8,0.0485308209896502,0.2748478178819798,0,0,6.981705085986096,21.123541099357983,ADH4;ALDH1A2
GO_Molecular_Function_2023,Hormone Activity (GO:0005179),7/74,0.0516711338051164,0.2847171360230044,0,0,2.1933379460314324,6.49854447966223,EDN1;EDN3;VGF;LEP;ADIPOQ;SPX;IGF1
GO_Molecular_Function_2023,Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),16/224,0.0517425024227532,0.2847171360230044,0,0,1.6189863648057627,4.794588839610287,EGR1;EGR2;FOS;PROX1;KLF4;SOX10;KLF15;TBX18;SOX2;SOX17;TAL1;WT1;PPARG;SOX7;ATF3;SNCA
GO_Molecular_Function_2023,Copper Ion Binding (GO:0005507),5/45,0.0531474374913738,0.2847171360230044,0,0,2.6221090308370045,7.695065058866873,AOC3;DCT;S100A12;SOD3;SNCA
GO_Molecular_Function_2023,Potassium Channel Regulator Activity (GO:0015459),5/45,0.0531474374913738,0.2847171360230044,0,0,2.6221090308370045,7.695065058866873,DPP6;KCNIP2;KCNMB1;ADRB2;SGK2
GO_Molecular_Function_2023,Alcohol Dehydrogenase (NADP+) Activity (GO:0008106),3/19,0.0532600236966109,0.2847171360230044,0,0,3.929464285714286,11.523426147692732,AKR1C1;AKR1C3;AKR1C2
GO_Molecular_Function_2023,Chemokine Receptor Activity (GO:0004950),3/19,0.0532600236966109,0.2847171360230044,0,0,3.929464285714286,11.523426147692732,GPR17;CXCR2;ACKR4
GO_Molecular_Function_2023,UDP-glycosyltransferase Activity (GO:0008194),6/61,0.0590335663614519,0.2962878512219521,0,0,2.28910494136514,6.477363680988338,EXTL1;HAS1;HAS3;UGT2B4;HAS2;GXYLT2
GO_Molecular_Function_2023,Type I Transforming Growth Factor Beta Receptor Binding (GO:0034713),2/9,0.0605466040837572,0.2962878512219521,0,0,5.984005018033558,16.781195972272872,FERMT2;TGFBR2
GO_Molecular_Function_2023,G Protein-Coupled Purinergic Nucleotide Receptor Activity (GO:0045028),2/9,0.0605466040837572,0.2962878512219521,0,0,5.984005018033558,16.781195972272872,P2RY12;GPR34
GO_Molecular_Function_2023,cAMP Response Element Binding (GO:0035497),2/9,0.0605466040837572,0.2962878512219521,0,0,5.984005018033558,16.781195972272872,NR4A3;CREB5
